Messlauf;Nps;Npt;Nqs;Nqt;Tp;Tq
23;0.698432552;0.004996742;247.203352;348.2123288;0.205287555;0.249609098
24;8.89E-05;1.43E-05;3.897887744;5.597859614;0.729994137;0.196899309
25;0.046639884;0.464670834;2.366606481;2.290555717;3.01E-05;0.28398992
26;2.67045123;5.304326217;691.0071626;1.64063455;0.214452227;20.32632679
27;0.005903647;71.45028388;627.5265351;2365.594541;18.27576835;12.29182185
30;0.096930075;0.20470075;0.006558139;1.921419657;0.506364688;0.00434746
31;9.77E-05;0.039269726;3.228460909;2.8834254;0.11028334;0.083704086
32;10.15867764;0.217300199;165.2028555;1.136050239;128.6254555;0.007124103
54;0.25348416;5.593636093;0.093988593;28.58609137;0.351446515;0.105809914
55;0.084903512;0.483678082;503.7807345;28.74338594;2.709379511;96.55570287
56;0.085663054;0.073612492;13.53750021;0.384001184;0.54251487;0.013665877
57;2.102304673;4.277772272;8.136452158;55.05092892;22.19930705;3.53508483
58;2.589510546;22.72065063;9453.015438;301.5962741;87877.50982;34226.72828
80;0.142647777;0.07359521;2294.604443;1205.143261;115.0265098;351.3272005
100;2.565321634;2.42247179;1532.138851;787.1152928;273.4319326;4587.835912
101;0.007543768;0.168842773;0.00884692;7.107118442;1.016426639;0.132354327
114;0.000270992;0.027959546;0.125765523;12.30200928;1.415180235;3.12E-06
121;0.003073888;0.017779413;0.904284681;0.804729643;8.989170352;0.002006827
130;0.00023693;0.000692611;1.182288537;3.566155825;0.196088765;0.080357716
131;166.7559014;0.025884574;7301.875232;10.94801023;2793.213206;75.71549151
132;0.012078629;0.236998219;1.85904765;1.834547138;0.125406435;0.007672674
;;;;;;
Mean;8.965722028;5.419482683;1088.1763;246.3075534;4345.018763;1875.023017
;;;;;;
Median;0.085663054;0.20470075;8.136452158;7.107118442;1.016426639;0.196899309
